pkg,name,value
acc,acc::racePlot,6
acc,acc::visGroup,13
acc,acc::accSummary,12
acc,acc::acc,11
acc,acc::aggAcc,1
acc,acc::aeexfit,6
acc,acc::aee,3
acc,acc::accBatch,11
acc,acc::readRaw,3
acc,acc::readCounts,1
acc,acc::aeefit,6
acc,acc::readCountsBatch,2
acc,acc::simAcc,9
acc,acc::plotAcc,2
accelerometry,accelerometry::bouts,10
accelerometry,accelerometry::blockaves,4
accelerometry,accelerometry::personvars,5
accelerometry,accelerometry::intensities,2
accelerometry,accelerometry::artifacts,3
accelerometry,accelerometry::sedbreaks,4
accelerometry,accelerometry::rle2,3
accelerometry,accelerometry::inverse_rle2,1
accelerometry,accelerometry::weartime,7
accelerometry,accelerometry::process_tri,36
accelerometry,accelerometry::blocksums,4
accelerometry,accelerometry::movingaves,4
accelerometry,accelerometry::process_uni,33
accelerometry,accelerometry::cut_counts,2
accelmissing,accelmissing::mice.impute.2l.zipln,7
accelmissing,accelmissing::accel.plot.7days,8
accelmissing,accelmissing::wear.time.plot,4
accelmissing,accelmissing::missing.rate,4
accelmissing,accelmissing::mice.impute.2l.zip.pmm,7
accelmissing,accelmissing::valid.subjects,7
accelmissing,accelmissing::mice.impute.2l.zipln.pmm,8
accelmissing,accelmissing::create.flag,3
accelmissing,accelmissing::accel.impute,14
accelmissing,accelmissing::valid.days,6
accept,accept::plotHeatMap,3
accept,accept::predictCountProb,3
accept,accept::plotExacerbations,4
accept,accept::predictACCEPT,4
ACCLMA,ACCLMA::calcLOI,1
ACCLMA,ACCLMA::calcWeights,1
ACCLMA,ACCLMA::fillData,0
ACCLMA,ACCLMA::plotGraphs,1
ACCLMA,ACCLMA::averageSameXs,1
ACCLMA,ACCLMA::size,1
ACCLMA,ACCLMA::plotLMA,2
ACCLMA,ACCLMA::fillCSVData,2
ACCLMA,ACCLMA::calcFX,1
ACCLMA,ACCLMA::calcFY,1
ACCLMA,ACCLMA::calcLMA,1
accrual,accrual::accrual.T.plot,7
accrual,accrual::accrual.T.inform,6
accrual,accrual::accrual.n.plot,7
accrual,accrual::accrual.multi.n,9
accrual,accrual::accrual.data,0
accrual,accrual::accrual.n.hedging,5
accrual,accrual::accrual.n.inform,6
accrual,accrual::accrual.T.hedging,5
accrual,accrual::accrual.plot.multicenter,8
accrual,accrual::accrual.gui,0
accrual,accrual::accrual.plots,1
accrued,accrued::print.accrued,2
accrued,accrued::laggedTSarray,4
accrued,accrued::barcode,2
accrued,accrued::lagHistogram,3
accrued,accrued::uploadPattern,3
accrued,accrued::plot.summary.accrued,2
accrued,accrued::data.accrued,3
accrued,accrued::print.summary.accrued,2
accrued,accrued::accruedErrors,3
accrued,accrued::summary.accrued,2
accrued,accrued::asOf,2
accrued,accrued::summary.accruedErrors,2
accrued,accrued::plot.accruedErrors,5
accrued,accrued::stackedUploadData,1
accrued,accrued::plot.accrued,2
accrued,accrued::errorQuantileSummary,3
accSDA,accSDA::SZVDcv,2
accSDA,accSDA::ASDA,2
accSDA,accSDA::SZVD_kFold_cv,2
accSDA,accSDA::ZVD,2
accSDA,accSDA::ASDABarPlot,7
accSDA,accSDA::SZVD,2
accSDA,accSDA::normalize,1
accSDA,accSDA::normalizetest,2
ACD,ACD::funlinWLS,27
ACD,ACD::satMcarWLS,2
ACD,ACD::waldTest,3
ACD,ACD::linML,11
ACD,ACD::readCatdata,3
ACD,ACD::loglinML,13
ACD,ACD::satMarML,11
ACDm,ACDm::standardizeResi,2
ACDm,ACDm::dgengamma,5
ACDm,ACDm::pgengamma,5
ACDm,ACDm::rburr,5
ACDm,ACDm::dmixinvgauss,5
ACDm,ACDm::computeDurations,7
ACDm,ACDm::testRmACD,3
ACDm,ACDm::qqweibull,5
ACDm,ACDm::plotLL,7
ACDm,ACDm::acf_acd,4
ACDm,ACDm::plotScatterAcd,10
ACDm,ACDm::plotHazard,4
ACDm,ACDm::mixinvgaussHazard,5
ACDm,ACDm::qweibullExpectation,3
ACDm,ACDm::dgenf,6
ACDm,ACDm::pburr,5
ACDm,ACDm::pmixinvgauss,5
ACDm,ACDm::testSTACD,3
ACDm,ACDm::qweibullHazard,5
ACDm,ACDm::genfHazard,6
ACDm,ACDm::gengammaHazard,5
ACDm,ACDm::dqweibull,5
ACDm,ACDm::plotHistAcd,3
ACDm,ACDm::mixqweHazard,7
ACDm,ACDm::acdFit,15
ACDm,ACDm::burrExpectation,3
ACDm,ACDm::pmixqww,8
ACDm,ACDm::rgengamma,5
ACDm,ACDm::dburr,5
ACDm,ACDm::plotDescTrans,3
ACDm,ACDm::sim_ACD,16
ACDm,ACDm::dmixqww,8
ACDm,ACDm::qgengamma,5
ACDm,ACDm::qburr,5
ACDm,ACDm::rqweibull,5
ACDm,ACDm::pqweibull,5
ACDm,ACDm::pmixqwe,7
ACDm,ACDm::dmixqwe,7
ACDm,ACDm::diurnalAdj,8
ACDm,ACDm::testTVACD,4
ACDm,ACDm::qqplotAcd,3
ACDm,ACDm::mixqwwHazard,8
ACDm,ACDm::plotRollMeanAcd,2
ACDm,ACDm::resiDensityAcd,4
ACDm,ACDm::pgenf,6
ace2fastq,ace2fastq::ace_to_fastq,3
acebayes,acebayes::utilhlrbaa,2
acebayes,acebayes::assess,3
acebayes,acebayes::utilcomp15bad,2
acebayes,acebayes::utilhlrbad,2
acebayes,acebayes::utilityglm,6
acebayes,acebayes::utilitynlm,6
acebayes,acebayes::paceglm,15
acebayes,acebayes::optdescomp15sig,0
acebayes,acebayes::inideshlrnsel,2
acebayes,acebayes::utilcomp18bad,2
acebayes,acebayes::utilhlrsig,2
acebayes,acebayes::inideshlrsig,2
acebayes,acebayes::acephase1,11
acebayes,acebayes::acephase2,7
acebayes,acebayes::utilcomp15sigDRS,2
acebayes,acebayes::optdesbeetle,1
acebayes,acebayes::utilbeetle,2
acebayes,acebayes::optdeshlrsig,1
acebayes,acebayes::optdescomp15sigDRS,0
acebayes,acebayes::optdeshlrnsel,1
acebayes,acebayes::optdescomp18bad,1
acebayes,acebayes::utilhlrnsel,2
acebayes,acebayes::inideslrnsel,2
acebayes,acebayes::optdeslrnsel,1
acebayes,acebayes::acenlm,13
acebayes,acebayes::pace,13
acebayes,acebayes::inideslrsig,2
acebayes,acebayes::optdeslrsig,1
acebayes,acebayes::utillrsig,2
acebayes,acebayes::utilcomp15sig,2
acebayes,acebayes::optdeshlrbaa,1
acebayes,acebayes::utillrbaa,2
acebayes,acebayes::optdeslrbaa,1
acebayes,acebayes::optdeslinmod,2
acebayes,acebayes::utillinmod,2
acebayes,acebayes::utillrbad,2
acebayes,acebayes::optdeslrbad,2
acebayes,acebayes::utillrnsel,2
acebayes,acebayes::optdeshlrbad,1
acebayes,acebayes::optdescomp15bad,0
acebayes,acebayes::ace,12
acebayes,acebayes::pacenlm,14
acebayes,acebayes::aceglm,14
ACEt,ACEt::test_acetp,6
ACEt,ACEt::plot_acet,8
ACEt,ACEt::AtCtEtp,8
ACEt,ACEt::AtCtEt,11
ACEt,ACEt::acetp_mcmc,4
acfMPeriod,acfMPeriod::PerACF,7
acfMPeriod,acfMPeriod::CovCorPer,2
acfMPeriod,acfMPeriod::MPerioReg,1
acfMPeriod,acfMPeriod::MPerACF,7
acfMPeriod,acfMPeriod::MCrossPeriodogram,2
acfMPeriod,acfMPeriod::PerioReg,1
acfMPeriod,acfMPeriod::CovCorMPer,2
acfMPeriod,acfMPeriod::CrossPeriodogram,2
acid,acid::atkinson.GB2,7
acid,acid::pval.md,8
acid,acid::gini.md,8
acid,acid::weighted.atkinson,4
acid,acid::gini.den,5
acid,acid::atkinson,2
acid,acid::cdf.mix.LN,7
acid,acid::sgini.den,6
acid,acid::gini.gamma,1
acid,acid::polarisation.ER,3
acid,acid::coeffvar,1
acid,acid::confband.kneib,2
acid,acid::midks.plot,5
acid,acid::midks.test,5
acid,acid::pens.parade,4
acid,acid::atkinson.den,7
acid,acid::cdf.mix.dag,9
acid,acid::weighted.entropy,3
acid,acid::theil.gamma,1
acid,acid::sd.GB2,4
acid,acid::skewness.GB2,4
acid,acid::arithmean.GB2,4
acid,acid::weighted.gini,2
acid,acid::entropy.GB2,7
acid,acid::weighted.coeffvar,2
acid,acid::frac.ranks,2
acid,acid::ysample.md,8
acid,acid::entropy.md,10
acid,acid::ineq.md,9
acid,acid::gini.Dag,2
acid,acid::gini,1
acid,acid::sgini,3
acid,acid::entropy,2
acid,acid::polarisation.EGR,11
acid,acid::km.GB2,5
acid,acid::weighted.moments,2
acid,acid::den.md,8
acid,acid::sadr.test,11
acid,acid::atkinson.md,10
acid,acid::confband.pw,2
acm4r,acm4r::call_acm,3
acm4r,acm4r::call_erra,5
acm4r,acm4r::acmwrapall,5
acm4r,acm4r::clusters,4
acm4r,acm4r::call_gd1,3
acm4r,acm4r::call_gd2,2
acm4r,acm4r::call_bablbs,2
ACMEeqtl,ACMEeqtl::effectSizeEstimationR,3
ACMEeqtl,ACMEeqtl::multithreadACME,10
ACMEeqtl,ACMEeqtl::create_artificial_data,10
ACMEeqtl,ACMEeqtl::effectSizeEstimationC,3
ACMEeqtl,ACMEeqtl::multisnpACME,9
acmeR,acmeR::acme.table,8
acmeR,acmeR::acme.summary,6
acmeR,acmeR::acme.post,11
acnr,acnr::listTumorFractions,1
acnr,acnr::getMinorMajorCopyNumbers,1
acnr,acnr::listDataSets,0
acnr,acnr::loadCnRegionData,2
acopula,acopula::eCopulaArchimax,13
acopula,acopula::print.eCopulaArchimax,2
acopula,acopula::qCopula,12
acopula,acopula::print.gCopula,2
acopula,acopula::isCopula,13
acopula,acopula::gCopula,15
acopula,acopula::depGalambos,1
acopula,acopula::depGCC,4
acopula,acopula::pCopulaEmpirical,2
acopula,acopula::copPlackett,1
acopula,acopula::copFGM,1
acopula,acopula::genJoe,1
acopula,acopula::vpartition,3
acopula,acopula::pPareto,2
acopula,acopula::genAMH,1
acopula,acopula::print.isCopula,2
acopula,acopula::copula,2
acopula,acopula::eCopula,16
acopula,acopula::copGumbel,1
acopula,acopula::genGumbel,1
acopula,acopula::copProduct,1
acopula,acopula::rCopula,8
acopula,acopula::dep1,1
acopula,acopula::cCopula,12
acopula,acopula::generator,2
acopula,acopula::print.eCopulaGeneric,2
acopula,acopula::rCopulaArchimax2D,6
acopula,acopula::gCopulaEmpirical,3
acopula,acopula::nintegrate,5
acopula,acopula::nderive,5
acopula,acopula::depfun,2
acopula,acopula::qPareto,2
acopula,acopula::pCopula,10
acopula,acopula::eCopulaGeneric,10
acopula,acopula::genFrank,1
acopula,acopula::depHuslerReiss,1
acopula,acopula::depCC,3
acopula,acopula::copNormal,2
acopula,acopula::ldepPartition3D,1
acopula,acopula::depTawn,2
acopula,acopula::depMax,2
acopula,acopula::dCopula,10
acopula,acopula::depGumbel,1
acopula,acopula::genClayton,1
acopula,acopula::genLog,1
AcousticNDLCodeR,AcousticNDLCodeR::readESPSAnnotation,2
AcousticNDLCodeR,AcousticNDLCodeR::readTextGridRobust,2
AcousticNDLCodeR,AcousticNDLCodeR::CorpusCoder,10
AcousticNDLCodeR,AcousticNDLCodeR::CODE,2
AcousticNDLCodeR,AcousticNDLCodeR::readWavesurfer,2
AcousticNDLCodeR,AcousticNDLCodeR::getBoundary,2
AcousticNDLCodeR,AcousticNDLCodeR::readTextGridFast,2
AcousticNDLCodeR,AcousticNDLCodeR::makeCues,3
acp,acp::predict.acp,4
acp,acp::Berkowitz,4
acp,acp::evaluation,3
acp,acp::print.acp,2
acp,acp::acp.default,7
acp,acp::summary.acp,2
acp,acp::acp,2
acp,acp::print.summary.acp,2
acp,acp::acp.formula,8
aCRM,aCRM::Aggregate,2
aCRM,aCRM::aCRMNews,0
aCRM,aCRM::imputeMissings,1
aCRM,aCRM::cocktailEnsemble,2
AcrossTic,AcrossTic::print.AcrossTicPtest,2
AcrossTic,AcrossTic::plot.AcrossTic,6
AcrossTic,AcrossTic::ptest,4
AcrossTic,AcrossTic::rRegMatch,9
AcrossTic,AcrossTic::print.AcrossTic,2
acrt,acrt::critical.value,19
acrt,acrt::F.type.test.statistic,8
acrt,acrt::size,19
ACSNMineR,ACSNMineR::multisample_enrichment,10
ACSNMineR,ACSNMineR::Create_master_map,1
ACSNMineR,ACSNMineR::enrichment,9
ACSNMineR,ACSNMineR::format_from_gmt,1
ACSNMineR,ACSNMineR::represent_enrichment,8
acss,acss::normalize_string,1
acss,acss::likelihood_ratio,2
acss,acss::entropy2,1
acss,acss::local_complexity,3
acss,acss::count_class,2
acss,acss::alternations,2
acss,acss::likelihood_d,2
acss,acss::entropy,1
acss,acss::acss,2
acss,acss::change_complexity,1
acss,acss::prob_random,3
acss.data,acss.data::acss_data,0
ACSWR,ACSWR::vonNeumann,2
ACSWR,ACSWR::ST_Ordered,3
ACSWR,ACSWR::ww.test,2
ACSWR,ACSWR::MPbinomial,4
ACSWR,ACSWR::lval,2
ACSWR,ACSWR::ST_Unordered,3
ACSWR,ACSWR::UMPNormal,4
ACSWR,ACSWR::pareto_density,3
ACSWR,ACSWR::MPNormal,5
ACSWR,ACSWR::msteptpm,2
ACSWR,ACSWR::LRNormal2Mean,3
ACSWR,ACSWR::MPPoisson,4
ACSWR,ACSWR::UMPUniform,3
ACSWR,ACSWR::stationdistTPM,1
ACSWR,ACSWR::siegel.tukey,2
ACSWR,ACSWR::powertestplot,4
ACSWR,ACSWR::Binom_Sim,3
ACSWR,ACSWR::skewcoeff,1
ACSWR,ACSWR::kurtcoeff,1
ACSWR,ACSWR::LRNormalMean_KV,4
ACSWR,ACSWR::resistant_line,3
ACSWR,ACSWR::WilsonCI,3
ACSWR,ACSWR::QH_CI,2
ACSWR,ACSWR::UMPExponential,3
ACSWR,ACSWR::LRNormalMean_UV,3
ACSWR,ACSWR::pareto_quantile,3
ACSWR,ACSWR::TM,1
ACSWR,ACSWR::TMH,1
ACSWR,ACSWR::Geom_Sim,2
ACSWR,ACSWR::Poisson_Sim,2
ACSWR,ACSWR::LRNormalVariance_UM,3
ACSWR,ACSWR::Ehrenfest,1
ACTCD,ACTCD::labeling,5
ACTCD,ACTCD::alpha,1
ACTCD,ACTCD::cd.cluster,8
ACTCD,ACTCD::npar.CDM,10
ACTCD,ACTCD::eta,3
ActFrag,ActFrag::fragmentation,5
ActFrag,ActFrag::wear_flag,3
ActFrag,ActFrag::fragmentation_long,6
Actigraphy,Actigraphy::fda.matchid,4
Actigraphy,Actigraphy::cat_flm_plot,13
Actigraphy,Actigraphy::flm_ftest,9
Actigraphy,Actigraphy::Ftest,10
Actigraphy,Actigraphy::fda.smoothdata,4
Actigraphy,Actigraphy::flm_cate,4
Actigraphy,Actigraphy::cont_flm_plot,14
ActiveDriver,ActiveDriver::read_fasta,1
ActiveDriver,ActiveDriver::ActiveDriver,12
activity,activity::density2,3
activity,activity::.__C__actmod,0
activity,activity::.__C__lincircmod,0
activity,activity::.__T__$:base,0
activity,activity::.__T__[:base,0
activity,activity::.__T__[<-:base,0
activity,activity::fitact,8
activity,activity::compareTimes,2
activity,activity::wrap,2
activity,activity::bwcalc,2
activity,activity::solartime,5
activity,activity::gettime,3
activity,activity::cmean,2
activity,activity::transtime,4
activity,activity::lincircKern,3
activity,activity::dvmkern,5
activity,activity::fitlincirc,5
activity,activity::redf,2
activity,activity::compareCkern,3
activity,activity::.__T__[[<-:base,0
activity,activity::ovl4,2
activity,activity::.__T__$<-:base,0
activity,activity::compareAct,1
activityCounts,activityCounts::counts,7
activPAL,activPAL::activity.with.overlay.chart.folder,2
activPAL,activPAL::activity.with.overlay.chart,3
activPAL,activPAL::stepping.cadence.bands.folder.two.stepping.groups,3
activPAL,activPAL::activity.summary.by.window.duration,3
activPAL,activPAL::activity.summary.by.custom.period,2
activPAL,activPAL::daily.stepping.activity.bubble.chart,2
activPAL,activPAL::stepping.cadence.bands.folder.four.stepping.groups,3
activpalProcessing,activpalProcessing::sed.min.AP,2
activpalProcessing,activpalProcessing::identifyDirectory,1
activpalProcessing,activpalProcessing::guideline.bouts.num,1
activpalProcessing,activpalProcessing::prolonged.sed.bouts.min,3
activpalProcessing,activpalProcessing::guideline.bouts.min,1
activpalProcessing,activpalProcessing::identifyVisits,2
activpalProcessing,activpalProcessing::identifyStudy,2
activpalProcessing,activpalProcessing::second.by.second,1
activpalProcessing,activpalProcessing::process.AP,4
activpalProcessing,activpalProcessing::breaks.AP,1
activpalProcessing,activpalProcessing::activpal.file.reader,1
activpalProcessing,activpalProcessing::wake,5
activpalProcessing,activpalProcessing::on.off,5
activpalProcessing,activpalProcessing::stand.min.AP,2
activpalProcessing,activpalProcessing::mvpa.min.AP,2
activpalProcessing,activpalProcessing::lit.min.AP,3
activpalProcessing,activpalProcessing::step.min.AP,2
activpalProcessing,activpalProcessing::identifySubjects,2
activpalProcessing,activpalProcessing::prolonged.sed.bouts.num,3
actogrammr,actogrammr::read_clock_lab_files,1
actogrammr,actogrammr::bin_data,2
actogrammr,actogrammr::plot_actogram,3
actuar,actuar::mgumbel,3
actuar,actuar::minvpareto,3
actuar,actuar::qzmgeom,5
actuar,actuar::qinvpareto,5
actuar,actuar::levunif,4
actuar,actuar::levinvgamma,5
actuar,actuar::pinvparalogis,6
actuar,actuar::levbeta,4
actuar,actuar::plogarithmic,4
actuar,actuar::rpareto1,3
actuar,actuar::levinvpareto,4
actuar,actuar::dgenpareto,6
actuar,actuar::rinvgamma,4
actuar,actuar::rpareto2,3
actuar,actuar::rgenbeta,6
actuar,actuar::pinvexp,5
actuar,actuar::dinvgauss,5
actuar,actuar::dburr,6
actuar,actuar::rmixture,3
actuar,actuar::dinvgamma,5
actuar,actuar::levgenbeta,7
actuar,actuar::rinvgauss,4
actuar,actuar::dphtype,4
actuar,actuar::pztbinom,5
actuar,actuar::levtrgamma,6
actuar,actuar::dinvweibull,5
actuar,actuar::rzmpois,3
actuar,actuar::rgumbel,3
actuar,actuar::mgfgamma,5
actuar,actuar::levlgamma,4
actuar,actuar::levweibull,4
actuar,actuar::mgfinvgamma,5
actuar,actuar::qllogis,6
actuar,actuar::dztnbinom,4
actuar,actuar::qpareto,5
actuar,actuar::pztpois,4
actuar,actuar::aggregateDist,12
actuar,actuar::minvweibull,4
actuar,actuar::plgamma,5
actuar,actuar::minvparalogis,4
actuar,actuar::mgfchisq,4
actuar,actuar::mgfinvgauss,5
actuar,actuar::minvgamma,4
actuar,actuar::pinvweibull,6
actuar,actuar::minvexp,3
actuar,actuar::rgenpareto,5
actuar,actuar::qtrbeta,8
actuar,actuar::mlgompertz,4
actuar,actuar::dzmlogarithmic,4
actuar,actuar::mnorm,3
actuar,actuar::dztgeom,3
actuar,actuar::rztbinom,3
actuar,actuar::emm,3
actuar,actuar::dzmpois,4
actuar,actuar::rztnbinom,3
actuar,actuar::qlogarithmic,4
actuar,actuar::pinvtrgamma,7
actuar,actuar::munif,3
actuar,actuar::rinvexp,3
actuar,actuar::ptrgamma,7
actuar,actuar::dlogarithmic,3
actuar,actuar::levparalogis,5
actuar,actuar::qburr,7
actuar,actuar::CTE,2
actuar,actuar::rinvtrgamma,5
actuar,actuar::dlgompertz,5
actuar,actuar::qztgeom,4
actuar,actuar::mgamma,4
actuar,actuar::mlgamma,3
actuar,actuar::pinvgamma,6
actuar,actuar::levpareto,4
actuar,actuar::qinvgamma,6
actuar,actuar::ppig,6
actuar,actuar::dpig,5
actuar,actuar::dinvburr,6
actuar,actuar::levinvexp,4
actuar,actuar::levexp,3
actuar,actuar::pzmnbinom,6
actuar,actuar::pgenpareto,7
actuar,actuar::rinvparalogis,4
actuar,actuar::ogive,2
actuar,actuar::levinvGauss,4
actuar,actuar::levtrbeta,7
actuar,actuar::rztpois,2
actuar,actuar::qparalogis,6
actuar,actuar::pzmgeom,5
actuar,actuar::mparalogis,4
actuar,actuar::rlgamma,3
actuar,actuar::levlnorm,4
actuar,actuar::qzmbinom,6
actuar,actuar::dgumbel,4
actuar,actuar::levllogis,5
actuar,actuar::grouped.data,9
actuar,actuar::dinvpareto,4
actuar,actuar::discretise,8
actuar,actuar::levpearson6,7
actuar,actuar::minvGauss,3
actuar,actuar::mpearson6,6
actuar,actuar::rlgompertz,4
actuar,actuar::levinvparalogis,5
actuar,actuar::rinvburr,5
actuar,actuar::discretize,8
actuar,actuar::dztbinom,4
actuar,actuar::qpoisinvgauss,6
actuar,actuar::levchisq,4
actuar,actuar::levinvburr,6
actuar,actuar::qzmpois,5
actuar,actuar::mbeta,3
actuar,actuar::rlogarithmic,2
actuar,actuar::qgumbel,5
actuar,actuar::pllogis,6
actuar,actuar::pzmbinom,6
actuar,actuar::rpig,4
actuar,actuar::mchisq,3
actuar,actuar::adjCoef,9
actuar,actuar::minvburr,5
actuar,actuar::simpf,4
actuar,actuar::cm,14
actuar,actuar::severity,2
actuar,actuar::ppareto,5
actuar,actuar::rinvweibull,4
actuar,actuar::mtrgamma,5
actuar,actuar::dinvparalogis,5
actuar,actuar::elev,2
actuar,actuar::mgfgumbel,4
actuar,actuar::dztpois,3
actuar,actuar::qinvburr,7
actuar,actuar::ppareto1,5
actuar,actuar::ppareto2,5
actuar,actuar::mlnorm,3
actuar,actuar::levgamma,5
actuar,actuar::ptrbeta,8
actuar,actuar::dpareto1,4
actuar,actuar::dpareto2,4
actuar,actuar::pinvburr,7
actuar,actuar::dinvexp,4
actuar,actuar::dgenbeta,7
actuar,actuar::rinvpareto,3
actuar,actuar::mgenbeta,6
actuar,actuar::mgenpareto,5
actuar,actuar::rpearson6,6
actuar,actuar::rburr,5
actuar,actuar::mpareto1,3
actuar,actuar::qinvtrgamma,7
actuar,actuar::mgfinvGauss,4
actuar,actuar::levgenpareto,6
actuar,actuar::mpareto2,3
actuar,actuar::rzmgeom,3
actuar,actuar::qzmnbinom,6
actuar,actuar::mllogis,4
actuar,actuar::mgfphtype,4
actuar,actuar::dparalogis,5
actuar,actuar::qinvexp,5
actuar,actuar::rzmbinom,4
actuar,actuar::rzmlogarithmic,3
actuar,actuar::mpareto,3
actuar,actuar::levlgompertz,5
actuar,actuar::ppoisinvgauss,6
actuar,actuar::pztnbinom,5
actuar,actuar::pztgeom,4
actuar,actuar::mexp,2
actuar,actuar::pphtype,5
actuar,actuar::levburr,6
actuar,actuar::dlgamma,4
actuar,actuar::mtrbeta,6
actuar,actuar::dinvtrgamma,6
actuar,actuar::rllogis,4
actuar,actuar::qzmlogarithmic,5
actuar,actuar::ppearson6,8
actuar,actuar::qinvparalogis,6
actuar,actuar::pinvpareto,5
actuar,actuar::levinvweibull,5
actuar,actuar::rpareto,3
actuar,actuar::rtrgamma,5
actuar,actuar::qztpois,4
actuar,actuar::qinvgauss,10
actuar,actuar::dpearson6,7
actuar,actuar::pinvgauss,6
actuar,actuar::mde,6
actuar,actuar::rcompound,4
actuar,actuar::qlgamma,5
actuar,actuar::dzmnbinom,5
actuar,actuar::levpareto1,4
actuar,actuar::levpareto2,4
actuar,actuar::rparalogis,4
actuar,actuar::TVaR,2
actuar,actuar::rtrbeta,6
actuar,actuar::pzmlogarithmic,5
actuar,actuar::mphtype,3
actuar,actuar::pgenbeta,8
actuar,actuar::qtrgamma,7
actuar,actuar::dpoisinvgauss,5
actuar,actuar::VaR,2
actuar,actuar::qinvweibull,6
actuar,actuar::rcomphierarc,4
actuar,actuar::rpoisinvgauss,4
actuar,actuar::mgfunif,4
actuar,actuar::pzmpois,5
actuar,actuar::pgumbel,5
actuar,actuar::unroll,3
actuar,actuar::levinvtrgamma,6
actuar,actuar::qlgompertz,6
actuar,actuar::coverage,8
actuar,actuar::dllogis,5
actuar,actuar::dtrgamma,6
actuar,actuar::dzmbinom,5
actuar,actuar::mgfexp,3
actuar,actuar::qpearson6,8
actuar,actuar::rcomppois,4
actuar,actuar::minvgauss,4
actuar,actuar::qpig,6
actuar,actuar::dpareto,4
actuar,actuar::levinvgauss,5
actuar,actuar::rztgeom,2
actuar,actuar::rphtype,3
actuar,actuar::qgenbeta,8
actuar,actuar::rzmnbinom,4
actuar,actuar::minvtrgamma,5
actuar,actuar::qgenpareto,7
actuar,actuar::mweibull,3
actuar,actuar::simul,4
actuar,actuar::mgfnorm,4
actuar,actuar::dzmgeom,4
actuar,actuar::qpareto1,5
actuar,actuar::qpareto2,5
actuar,actuar::plgompertz,6
actuar,actuar::qztnbinom,5
actuar,actuar::pburr,7
actuar,actuar::ruin,8
actuar,actuar::dtrbeta,7
actuar,actuar::pparalogis,6
actuar,actuar::mburr,5
actuar,actuar::qztbinom,5
AcuityView,AcuityView::AcuityView,7
AcuityView,AcuityView::fft_matrix_shift,2
ada,ada::varplot,5
ada,ada::addtest,4
ada,ada::ada,2
adabag,adabag::bagging,6
adabag,adabag::errorevol,2
adabag,adabag::predict.boosting,4
